,iata,lat,long,icao
0,ORD,41.979595,-87.90446417,KORD
1,ATL,33.64044444,-84.42694444,KATL
2,DFW,32.89595056,-97.0372,KDFW
3,PHX,33.43416667,-112.0080556,KPHX
4,DEN,39.85840806,-104.6670019,KDEN
5,IAH,29.98047222,-95.33972222,KIAH
6,SFO,37.61900194,-122.3748433,KSFO
7,LAX,33.94253611,-118.4080744,KLAX
8,MCO,28.42888889,-81.31602778,KMCO
9,CLT,35.21401111,-80.94312583,KCLT
10,SLC,40.78838778,-111.9777731,KSLC
11,TPA,27.97547222,-82.53325,KTPA
12,EWR,40.69249722,-74.16866056,KEWR
13,LAS,36.08036111,-115.1523333,KLAS
14,PHL,39.87195278,-75.24114083,KPHL
15,MSP,44.88054694,-93.2169225,KMSP
16,SEA,47.44898194,-122.3093131,KSEA
17,LGA,40.77724306,-73.87260917,KLGA
18,MDW,41.7859825,-87.75242444,KMDW
19,IAD,38.94453194,-77.45580972,KIAD
20,SAN,32.73355611,-117.1896567,KSAN
21,STL,38.74768694,-90.35998972,KSTL
22,DTW,42.21205889,-83.34883583,KDTW
23,JFK,40.63975111,-73.77892556,KJFK
24,MIA,25.79325,-80.29055556,KMIA
25,BOS,42.3643475,-71.00517917,KBOS
26,SMF,38.69542167,-121.5907669,KSMF
27,BWI,39.17540167,-76.66819833,KBWI
28,SNA,33.67565861,-117.8682225,KSNA
29,MSY,29.99338889,-90.25802778,KMSY
30,SJC,37.36186194,-121.9290089,KSJC
31,DCA,38.85208333,-77.03772222,KDCA
32,PDX,45.58872222,-122.5975,KPDX
33,RSW,26.53616667,-81.75516667,KRSW
34,PBI,26.68316194,-80.09559417,KPBI
35,RDU,35.87763889,-78.78747222,KRDU
36,HOU,29.64541861,-95.27888889,KHOU
37,SAT,29.53369444,-98.46977778,KSAT
38,FLL,26.07258333,-80.15275,KFLL
39,MCI,39.29760528,-94.71390556,KMCI
40,OAK,37.72129083,-122.2207167,KOAK
41,PIT,40.49146583,-80.23287083,KPIT
42,MEM,35.04241667,-89.97666667,KMEM
43,MKE,42.94722222,-87.89658333,KMKE
44,CLE,41.41089417,-81.84939667,KCLE
45,JAX,30.49405556,-81.68786111,KJAX
46,TUS,32.11608333,-110.9410278,KTUS
47,IND,39.71732917,-86.29438417,KIND
