gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
AAL1403.BWI.DFW.230228.1130.0166.TFM,KBWI,KDFW,2023-03-01 15:27:00,2023-03-01 15:10:00,AAL,2023-03-01 10:27:00,2023-03-01 10:10:00,4.0,2.0,17.0,2023-03-01,15:27:00,2023-03-01,10:27:00,17.0
DAL2888.SEA.SFO.230228.1520.0068.TFM,KSEA,KSFO,2023-03-01 17:16:00,2023-03-01 17:36:00,DAL,2023-03-01 12:16:00,2023-03-01 12:36:00,11.0,10.0,0.0,2023-03-01,17:16:00,2023-03-01,12:16:00,0.0
AAL28.LAX.JFK.230227.0700.0086.TFM,KLAX,KJFK,2023-03-01 00:36:00,2023-02-28 12:26:00,AAL,2023-02-28 19:36:00,2023-02-28 07:26:00,7.0,8.0,730.0,2023-03-01,00:36:00,2023-02-28,19:36:00,
AAL274.LAX.JFK.230228.1945.0165.TFM,KLAX,KJFK,2023-03-02 00:58:00,2023-03-02 01:07:00,AAL,2023-03-01 19:58:00,2023-03-01 20:07:00,7.0,8.0,0.0,2023-03-02,00:58:00,2023-03-01,19:58:00,0.0
DAL2614.LAX.SFO.230228.1400.0238.TFM,KLAX,KSFO,2023-03-01 15:12:00,2023-03-01 15:26:00,DAL,2023-03-01 10:12:00,2023-03-01 10:26:00,11.0,8.0,0.0,2023-03-01,15:12:00,2023-03-01,10:12:00,0.0
GJS4591.DCA.EWR.230228.1400.0229.TFM,KDCA,KEWR,2023-03-01 14:58:00,2023-03-01 15:25:00,GJS,2023-03-01 09:58:00,2023-03-01 10:25:00,5.0,3.0,0.0,2023-03-01,14:58:00,2023-03-01,09:58:00,0.0
DAL323.JFK.SFO.230228.0240.0087.TFM,KJFK,KSFO,2023-03-01 11:29:00,2023-03-01 09:27:00,DAL,2023-03-01 06:29:00,2023-03-01 04:27:00,11.0,7.0,122.0,2023-03-01,11:29:00,2023-03-01,06:29:00,122.0
SKW3801.JFK.IAD.230228.1700.0038.TFM,KJFK,KIAD,2023-03-01 18:22:00,2023-03-01 18:20:00,SKW,2023-03-01 13:22:00,2023-03-01 13:20:00,6.0,7.0,0.0,2023-03-01,18:22:00,2023-03-01,13:22:00,0.0
DAL316.ATL.DCA.230228.1440.0091.TFM,KATL,KDCA,2023-03-01 16:19:00,2023-03-01 16:19:00,DAL,2023-03-01 11:19:00,2023-03-01 11:19:00,3.0,0.0,0.0,2023-03-01,16:19:00,2023-03-01,11:19:00,0.0
DAL528.ATL.LGA.230228.1715.0069.TFM,KATL,KLGA,2023-03-01 19:20:00,2023-03-01 19:27:00,DAL,2023-03-01 14:20:00,2023-03-01 14:27:00,9.0,0.0,0.0,2023-03-01,19:20:00,2023-03-01,14:20:00,0.0
DAL655.SEA.ATL.230228.1400.0334.TFM,KSEA,KATL,2023-03-01 18:43:00,2023-03-01 18:38:00,DAL,2023-03-01 13:43:00,2023-03-01 13:38:00,0.0,10.0,0.0,2023-03-01,18:43:00,2023-03-01,13:43:00,0.0
DAL538.LAX.JFK.230228.1400.0341.TFM,KLAX,KJFK,2023-03-01 18:31:00,2023-03-01 19:20:00,DAL,2023-03-01 13:31:00,2023-03-01 14:20:00,7.0,8.0,0.0,2023-03-01,18:31:00,2023-03-01,13:31:00,0.0
AAL10.LAX.JFK.230228.0615.0032.TFM,KLAX,KJFK,2023-03-01 11:07:00,2023-03-01 11:35:00,AAL,2023-03-01 06:07:00,2023-03-01 06:35:00,7.0,8.0,0.0,2023-03-01,11:07:00,2023-03-01,06:07:00,0.0
AAL1676.DFW.DCA.230228.1430.0193.TFM,KDFW,KDCA,2023-03-01 17:39:00,2023-03-01 17:19:00,AAL,2023-03-01 12:39:00,2023-03-01 12:19:00,3.0,4.0,20.0,2023-03-01,17:39:00,2023-03-01,12:39:00,20.0
AAL2222.DFW.DCA.230301.0245.0042.TFM,KDFW,KDCA,2023-03-02 05:29:00,2023-03-02 05:28:00,AAL,2023-03-02 00:29:00,2023-03-02 00:28:00,3.0,4.0,0.0,2023-03-02,05:29:00,2023-03-02,00:29:00,20.0
UAL1654.LAX.BOS.230228.1620.0140.TFM,KLAX,KBOS,2023-03-01 21:05:00,2023-03-01 21:40:00,UAL,2023-03-01 16:05:00,2023-03-01 16:40:00,1.0,8.0,0.0,2023-03-01,21:05:00,2023-03-01,16:05:00,0.0
DAL607.BOS.LAX.230228.2005.0060.TFM,KBOS,KLAX,2023-03-02 03:13:00,2023-03-02 02:45:00,DAL,2023-03-01 22:13:00,2023-03-01 21:45:00,8.0,1.0,28.0,2023-03-02,03:13:00,2023-03-01,22:13:00,28.0
UAL1991.EWR.SFO.230228.1500.0295.TFM,KEWR,KSFO,2023-03-01 20:55:00,2023-03-01 21:15:00,UAL,2023-03-01 15:55:00,2023-03-01 16:15:00,11.0,5.0,0.0,2023-03-01,20:55:00,2023-03-01,15:55:00,122.0
GJS4499.EWR.DCA.230228.1800.0071.TFM,KEWR,KDCA,2023-03-01 19:17:00,2023-03-01 19:22:00,GJS,2023-03-01 14:17:00,2023-03-01 14:22:00,3.0,5.0,0.0,2023-03-01,19:17:00,2023-03-01,14:17:00,20.0
UAL215.LAX.SFO.230301.0015.0109.TFM,KLAX,KSFO,2023-03-02 01:31:00,2023-03-02 01:45:00,UAL,2023-03-01 20:31:00,2023-03-01 20:45:00,11.0,8.0,0.0,2023-03-02,01:31:00,2023-03-01,20:31:00,122.0
AAL2.LAX.JFK.230228.1530.0053.TFM,KLAX,KJFK,2023-03-01 19:55:00,2023-03-01 20:54:00,AAL,2023-03-01 14:55:00,2023-03-01 15:54:00,7.0,8.0,0.0,2023-03-01,19:55:00,2023-03-01,14:55:00,0.0
DAL527.LAX.ATL.230228.0900.0038.TFM,KLAX,KATL,2023-03-02 01:04:00,2023-03-01 13:08:00,DAL,2023-03-01 20:04:00,2023-03-01 08:08:00,0.0,8.0,716.0,2023-03-02,01:04:00,2023-03-01,20:04:00,716.0
DAL759.DCA.ATL.230228.2000.0236.TFM,KDCA,KATL,2023-03-01 21:49:00,2023-03-01 22:01:00,DAL,2023-03-01 16:49:00,2023-03-01 17:01:00,0.0,3.0,0.0,2023-03-01,21:49:00,2023-03-01,16:49:00,716.0
UAL2187.SFO.BOS.230228.1625.0096.TFM,KSFO,KBOS,2023-03-01 21:46:00,2023-03-01 22:00:00,UAL,2023-03-01 16:46:00,2023-03-01 17:00:00,1.0,11.0,0.0,2023-03-01,21:46:00,2023-03-01,16:46:00,0.0
UAL2102.DFW.EWR.230301.0200.0186.TFM,KDFW,KEWR,2023-03-02 05:06:00,2023-03-02 05:15:00,UAL,2023-03-02 00:06:00,2023-03-02 00:15:00,5.0,4.0,0.0,2023-03-02,05:06:00,2023-03-02,00:06:00,0.0
DAL482.JFK.LAX.230228.1345.0052.TFM,KJFK,KLAX,2023-03-01 20:31:00,2023-03-01 20:20:00,DAL,2023-03-01 15:31:00,2023-03-01 15:20:00,8.0,7.0,0.0,2023-03-01,20:31:00,2023-03-01,15:31:00,28.0
