hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [77.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[8, 8],
        [7, 4]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [  0.],
        [  0.],
        [  0.],
        [648.],
        [  0.],
        [  0.],
        [  0.],
        [  0.],
        [473.],
        [  0.],
        [  0.]])","tensor([[ 8,  8, 11,  3, 10],
        [ 1,  7,  4,  9,  4]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 36.],
        [  0.],
        [ 20.],
        [251.],
        [  0.],
        [  0.],
        [ 24.],
        [  0.],
        [473.],
        [  0.],
        [  0.]])","tensor([[ 3, 11,  1,  3,  8,  9,  9],
        [ 9,  7,  3,  1,  4,  3,  3]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 20.],
        [323.],
        [  0.],
        [  0.],
        [ 24.],
        [  0.],
        [473.],
        [  0.],
        [  0.]])","tensor([[0, 3],
        [4, 1]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 20.],
        [466.],
        [  0.],
        [  0.],
        [ 24.],
        [  0.],
        [  0.],
        [  0.],
        [  0.]])","tensor([[3, 5, 3, 9, 1, 4, 9],
        [9, 4, 4, 3, 3, 3, 4]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 47.],
        [648.],
        [  0.],
        [  0.],
        [ 24.],
        [208.],
        [473.],
        [  0.],
        [  0.]])","tensor([[3, 2, 6, 4, 1, 3, 4, 3, 4, 9, 1, 1],
        [4, 4, 4, 8, 3, 9, 9, 1, 3, 4, 3, 4]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 20.],
        [289.],
        [  0.],
        [  0.],
        [ 24.],
        [208.],
        [586.],
        [  0.],
        [  0.]])","tensor([[ 9,  4, 11,  8,  9,  4,  4,  4],
        [ 4,  5,  8,  4,  3,  1,  0,  9]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 20.],
        [597.],
        [  0.],
        [  0.],
        [ 24.],
        [227.],
        [473.],
        [  0.],
        [196.]])","tensor([[ 1, 10, 11,  4,  7,  4,  0,  4,  3,  4,  5],
        [ 4,  4,  4,  9,  4,  8,  4,  3,  4, 11,  4]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[  0.],
        [ 89.],
        [  0.],
        [ 47.],
        [597.],
        [  0.],
        [  0.],
        [ 24.],
        [362.],
        [586.],
        [  0.],
        [196.]])","tensor([[ 4,  9,  3,  3,  4,  7,  9,  4,  8,  3,  3,  7],
        [10,  4,  0,  1,  8,  8,  3,  0,  4,  9,  4, 11]])"
