gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
AAL274.LAX.JFK.230228.1945.0165.TFM,KLAX,KJFK,2023-03-02 00:58:00,2023-03-02 01:07:00,AAL,2023-03-01 19:58:00,2023-03-01 20:07:00,7.0,8.0,0.0,2023-03-02,00:58:00,2023-03-01,19:58:00,0.0
AAL1403.BWI.DFW.230228.1130.0166.TFM,KBWI,KDFW,2023-03-01 15:27:00,2023-03-01 15:10:00,AAL,2023-03-01 10:27:00,2023-03-01 10:10:00,4.0,2.0,17.0,2023-03-01,15:27:00,2023-03-01,10:27:00,17.0
AAL1676.DFW.DCA.230228.1430.0193.TFM,KDFW,KDCA,2023-03-01 17:39:00,2023-03-01 17:19:00,AAL,2023-03-01 12:39:00,2023-03-01 12:19:00,3.0,4.0,20.0,2023-03-01,17:39:00,2023-03-01,12:39:00,20.0
AAL28.LAX.JFK.230227.0700.0086.TFM,KLAX,KJFK,2023-03-01 00:36:00,2023-02-28 12:26:00,AAL,2023-02-28 19:36:00,2023-02-28 07:26:00,7.0,8.0,730.0,2023-03-01,00:36:00,2023-02-28,19:36:00,
AAL10.LAX.JFK.230228.0615.0032.TFM,KLAX,KJFK,2023-03-01 11:07:00,2023-03-01 11:35:00,AAL,2023-03-01 06:07:00,2023-03-01 06:35:00,7.0,8.0,0.0,2023-03-01,11:07:00,2023-03-01,06:07:00,0.0
AAL2222.DFW.DCA.230301.0245.0042.TFM,KDFW,KDCA,2023-03-02 05:29:00,2023-03-02 05:28:00,AAL,2023-03-02 00:29:00,2023-03-02 00:28:00,3.0,4.0,0.0,2023-03-02,05:29:00,2023-03-02,00:29:00,20.0
AAL2.LAX.JFK.230228.1530.0053.TFM,KLAX,KJFK,2023-03-01 19:55:00,2023-03-01 20:54:00,AAL,2023-03-01 14:55:00,2023-03-01 15:54:00,7.0,8.0,0.0,2023-03-01,19:55:00,2023-03-01,14:55:00,0.0
AAL2314.DFW.BWI.230228.1630.0233.TFM,KDFW,KBWI,2023-03-01 19:03:00,2023-03-01 19:27:00,AAL,2023-03-01 14:03:00,2023-03-01 14:27:00,2.0,4.0,0.0,2023-03-01,19:03:00,2023-03-01,14:03:00,0.0
AAL980.DFW.ATL.230228.1630.0210.TFM,KDFW,KATL,2023-03-01 19:07:00,2023-03-01 18:33:00,AAL,2023-03-01 14:07:00,2023-03-01 13:33:00,0.0,4.0,34.0,2023-03-01,19:07:00,2023-03-01,14:07:00,34.0
AAL1148.DFW.BOS.230228.1835.0128.TFM,KDFW,KBOS,2023-03-01 21:44:00,2023-03-01 22:07:00,AAL,2023-03-01 16:44:00,2023-03-01 17:07:00,1.0,4.0,0.0,2023-03-01,21:44:00,2023-03-01,16:44:00,0.0
AAL377.JFK.DFW.230228.2325.0112.TFM,KJFK,KDFW,2023-03-02 03:36:00,2023-03-02 03:34:00,AAL,2023-03-01 22:36:00,2023-03-01 22:34:00,4.0,7.0,0.0,2023-03-02,03:36:00,2023-03-01,22:36:00,17.0
AAL1105.DFW.LGA.230228.1935.0142.TFM,KDFW,KLGA,2023-03-01 22:34:00,2023-03-01 22:51:00,AAL,2023-03-01 17:34:00,2023-03-01 17:51:00,9.0,4.0,0.0,2023-03-01,22:34:00,2023-03-01,17:34:00,0.0
AAL1430.DFW.SFO.230301.0100.0214.TFM,KDFW,KSFO,2023-03-02 04:55:00,2023-03-02 04:51:00,AAL,2023-03-01 23:55:00,2023-03-01 23:51:00,11.0,4.0,0.0,2023-03-02,04:55:00,2023-03-01,23:55:00,0.0
AAL1726.DFW.LGA.230301.0130.0140.TFM,KDFW,KLGA,2023-03-02 04:17:00,2023-03-02 04:44:00,AAL,2023-03-01 23:17:00,2023-03-01 23:44:00,9.0,4.0,0.0,2023-03-02,04:17:00,2023-03-01,23:17:00,0.0
AAL185.JFK.LAX.230228.0135.0127.TFM,KJFK,KLAX,2023-03-01 09:03:00,2023-03-01 08:09:00,AAL,2023-03-01 04:03:00,2023-03-01 03:09:00,8.0,7.0,54.0,2023-03-01,09:03:00,2023-03-01,04:03:00,54.0
AAL1285.BOS.DFW.230228.1900.0249.TFM,KBOS,KDFW,2023-03-02 00:33:00,2023-03-01 23:40:00,AAL,2023-03-01 19:33:00,2023-03-01 18:40:00,4.0,1.0,53.0,2023-03-02,00:33:00,2023-03-01,19:33:00,70.0
AAL473.LGA.DCA.230228.2100.0213.TFM,KLGA,KDCA,2023-03-01 22:19:00,2023-03-01 22:20:00,AAL,2023-03-01 17:19:00,2023-03-01 17:20:00,3.0,9.0,0.0,2023-03-01,22:19:00,2023-03-01,17:19:00,20.0
AAL564.DFW.LGA.230228.1215.0098.TFM,KDFW,KLGA,2023-03-01 14:56:00,2023-03-01 15:30:00,AAL,2023-03-01 09:56:00,2023-03-01 10:30:00,9.0,4.0,0.0,2023-03-01,14:56:00,2023-03-01,09:56:00,0.0
AAL2314.BWI.DFW.230228.2020.0107.TFM,KBWI,KDFW,2023-03-01 23:56:00,2023-03-01 23:55:00,AAL,2023-03-01 18:56:00,2023-03-01 18:55:00,4.0,2.0,0.0,2023-03-01,23:56:00,2023-03-01,18:56:00,70.0
AAL2971.LAX.DFW.230228.2025.0042.TFM,KLAX,KDFW,2023-03-02 00:38:00,2023-03-01 23:25:00,AAL,2023-03-01 19:38:00,2023-03-01 18:25:00,4.0,8.0,73.0,2023-03-02,00:38:00,2023-03-01,19:38:00,143.0
