gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
DAL2703.SEA.SFO.230213.2145.0172.TFM,KSEA,KSFO,2023-02-14 23:31:00,2023-02-14 23:52:00,DAL,2023-02-14 18:31:00,2023-02-14 18:52:00,11.0,10.0,0.0,2023-02-14,23:31:00,2023-02-14,18:31:00,
DAL865.BOS.LGA.230213.2200.0213.TFM,KBOS,KLGA,2023-02-14 23:28:00,2023-02-14 23:34:00,DAL,2023-02-14 18:28:00,2023-02-14 18:34:00,9.0,1.0,0.0,2023-02-14,23:28:00,2023-02-14,18:28:00,
DAL823.ATL.SFO.230213.1850.0079.TFM,KATL,KSFO,2023-02-15 00:37:00,2023-02-15 00:12:00,DAL,2023-02-14 19:37:00,2023-02-14 19:12:00,11.0,0.0,25.0,2023-02-15,00:37:00,2023-02-14,19:37:00,
DAL738.LAX.DFW.230213.1640.0162.TFM,KLAX,KDFW,2023-02-14 19:22:00,2023-02-14 19:42:00,DAL,2023-02-14 14:22:00,2023-02-14 14:42:00,4.0,8.0,0.0,2023-02-14,19:22:00,2023-02-14,14:22:00,
DAL816.ATL.DFW.230213.2000.0208.TFM,KATL,KDFW,2023-02-14 22:24:00,2023-02-14 22:25:00,DAL,2023-02-14 17:24:00,2023-02-14 17:25:00,4.0,0.0,0.0,2023-02-14,22:24:00,2023-02-14,17:24:00,
DAL855.ATL.BOS.230213.1515.0061.TFM,KATL,KBOS,2023-02-14 17:51:00,2023-02-14 17:53:00,DAL,2023-02-14 12:51:00,2023-02-14 12:53:00,1.0,0.0,0.0,2023-02-14,17:51:00,2023-02-14,12:51:00,
DAL987.ATL.SEA.230213.1310.0053.TFM,KATL,KSEA,2023-02-14 18:20:00,2023-02-14 18:45:00,DAL,2023-02-14 13:20:00,2023-02-14 13:45:00,10.0,0.0,0.0,2023-02-14,18:20:00,2023-02-14,13:20:00,
DAL2799.ATL.BWI.230213.2320.0127.TFM,KATL,KBWI,2023-02-15 00:51:00,2023-02-15 01:05:00,DAL,2023-02-14 19:51:00,2023-02-14 20:05:00,2.0,0.0,0.0,2023-02-15,00:51:00,2023-02-14,19:51:00,
DAL675.LAX.BOS.230213.0530.0030.TFM,KLAX,KBOS,2023-02-14 10:40:00,2023-02-14 10:55:00,DAL,2023-02-14 05:40:00,2023-02-14 05:55:00,1.0,8.0,0.0,2023-02-14,10:40:00,2023-02-14,05:40:00,
DAL2644.ATL.EWR.230213.1405.0115.TFM,KATL,KEWR,2023-02-14 16:09:00,2023-02-14 16:06:00,DAL,2023-02-14 11:09:00,2023-02-14 11:06:00,5.0,0.0,0.0,2023-02-14,16:09:00,2023-02-14,11:09:00,
DAL537.LAX.ATL.230213.2200.0303.TFM,KLAX,KATL,2023-02-15 01:41:00,2023-02-15 02:10:00,DAL,2023-02-14 20:41:00,2023-02-14 21:10:00,0.0,8.0,0.0,2023-02-15,01:41:00,2023-02-14,20:41:00,
DAL1632.DFW.LGA.230213.1935.0132.TFM,KDFW,KLGA,2023-02-14 22:42:00,2023-02-14 22:56:00,DAL,2023-02-14 17:42:00,2023-02-14 17:56:00,9.0,4.0,0.0,2023-02-14,22:42:00,2023-02-14,17:42:00,
