hour,airport_icao_names,cumulative_delay,edge_index
4,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [38.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[7],
        [8]])"
5,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2902.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [  34.],
        [  38.],
        [   0.],
        [   0.],
        [   0.]])","tensor([[ 8, 11,  8],
        [ 7,  0,  0]])"
6,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2902.],
        [  99.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [  34.],
        [  38.],
        [   0.],
        [   0.],
        [   0.]])","tensor([[ 8, 10, 10],
        [ 1,  1,  0]])"
7,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1539.],
        [ 951.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [  52.],
        [  38.],
        [ 103.],
        [   0.],
        [   0.]])","tensor([[ 8, 11, 10,  8,  1,  3,  7, 10,  1],
        [ 0,  7,  0,  0,  9,  0,  1,  7,  7]])"
8,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1867.],
        [ 951.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [   0.],
        [  52.],
        [  38.],
        [1092.],
        [   0.],
        [   0.]])","tensor([[7, 5, 6, 2, 9, 0, 0, 8, 8, 4],
        [0, 0, 0, 0, 0, 6, 9, 7, 0, 0]])"
9,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1886.],
        [ 174.],
        [   0.],
        [   0.],
        [  94.],
        [  39.],
        [   0.],
        [  52.],
        [  38.],
        [1092.],
        [   0.],
        [   0.]])","tensor([[9, 1, 0, 0, 2, 0, 0, 0, 4, 3, 5],
        [0, 0, 2, 1, 0, 5, 4, 9, 0, 0, 0]])"
10,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[ 611.],
        [ 215.],
        [   0.],
        [ 376.],
        [  94.],
        [  39.],
        [   0.],
        [  83.],
        [ 367.],
        [1194.],
        [   0.],
        [   0.]])","tensor([[ 0,  4, 11,  5,  9,  3,  0,  8,  0,  0,  4],
        [ 9,  8,  8,  0,  0,  0,  1, 11,  7,  3,  9]])"
11,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[1786.],
        [ 951.],
        [  85.],
        [ 127.],
        [ 468.],
        [  39.],
        [  72.],
        [  83.],
        [ 542.],
        [ 103.],
        [   0.],
        [   0.]])","tensor([[ 7,  0,  1,  9,  3,  0,  6, 11,  0,  0,  0,  0,  0,  0],
        [ 4,  9,  0,  1,  0,  3,  0, 10,  5,  2,  7,  6,  4,  8]])"
12,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2553.],
        [ 983.],
        [  85.],
        [ 207.],
        [ 468.],
        [  39.],
        [  72.],
        [  52.],
        [ 238.],
        [ 103.],
        [   0.],
        [   0.]])","tensor([[10, 11,  0,  0,  4,  4,  4,  0,  5,  8,  2,  9,  0],
        [11,  8,  9,  5,  0,  0,  7,  3,  0,  0,  0,  0,  1]])"
13,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2826.],
        [ 983.],
        [  85.],
        [ 398.],
        [ 468.],
        [  39.],
        [  72.],
        [  52.],
        [ 389.],
        [ 103.],
        [  17.],
        [  71.]])","tensor([[10, 10,  7,  0,  0,  0,  7,  1,  8, 11,  0,  7,  0,  3],
        [ 0,  8,  8, 10,  2, 11, 10, 10, 11,  0,  1, 11,  3,  0]])"
14,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2826.],
        [ 215.],
        [  85.],
        [ 398.],
        [ 468.],
        [  39.],
        [  72.],
        [  34.],
        [ 367.],
        [1092.],
        [  17.],
        [  71.]])","tensor([[ 0,  0,  3, 10,  0, 11,  1,  8,  4,  7,  9,  0,  6,  2,  1,  5],
        [ 9,  1,  0,  0,  8,  7,  8,  0,  9,  1,  0,  9,  0,  0,  0,  0]])"
15,"['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KJFK' 'KLAX' 'KLGA'
 'KSEA' 'KSFO']","tensor([[2456.],
        [ 983.],
        [   0.],
        [ 398.],
        [ 468.],
        [  39.],
        [  72.],
        [  83.],
        [ 575.],
        [1570.],
        [   0.],
        [ 150.]])","tensor([[ 0,  0, 10,  0,  3,  8,  4,  4,  7,  4, 11,  8,  1, 11,  0, 11,  8,  9,
          0,  1, 10,  1,  7,  0,  0],
        [ 2, 10,  1,  9,  0,  7,  0,  9,  0,  7, 10,  1,  0,  8,  6,  0,  0,  0,
          7,  9,  7, 11,  8,  4,  8]])"
