,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
0,DAL2888.SEA.SFO.230228.1520.0068.TFM,KSEA,KSFO,2023-03-01 17:16:00,2023-03-01 17:36:00,DAL
1,DAL316.ATL.DCA.230228.1440.0091.TFM,KATL,KDCA,2023-03-01 16:19:00,2023-03-01 16:19:00,DAL
2,DAL2614.LAX.SFO.230228.1400.0238.TFM,KLAX,KSFO,2023-03-01 15:12:00,2023-03-01 15:26:00,DAL
3,DAL323.JFK.SFO.230228.0240.0087.TFM,KJFK,KSFO,2023-03-01 11:29:00,2023-03-01 09:27:00,DAL
4,DAL538.LAX.JFK.230228.1400.0341.TFM,KLAX,KJFK,2023-03-01 18:31:00,2023-03-01 19:20:00,DAL
5,DAL528.ATL.LGA.230228.1715.0069.TFM,KATL,KLGA,2023-03-01 19:20:00,2023-03-01 19:27:00,DAL
6,DAL655.SEA.ATL.230228.1400.0334.TFM,KSEA,KATL,2023-03-01 18:43:00,2023-03-01 18:38:00,DAL
7,DAL927.ATL.LGA.230228.1416.0011.TFM,KATL,KLGA,2023-03-01 16:14:00,2023-03-01 16:26:00,DAL
8,DAL527.LAX.ATL.230228.0900.0038.TFM,KLAX,KATL,2023-03-02 01:04:00,2023-03-01 13:08:00,DAL
9,DAL759.DCA.ATL.230228.2000.0236.TFM,KDCA,KATL,2023-03-01 21:49:00,2023-03-01 22:01:00,DAL
10,DAL482.JFK.LAX.230228.1345.0052.TFM,KJFK,KLAX,2023-03-01 20:31:00,2023-03-01 20:20:00,DAL
11,DAL607.BOS.LAX.230228.2005.0060.TFM,KBOS,KLAX,2023-03-02 03:13:00,2023-03-02 02:45:00,DAL
12,DAL327.ATL.BOS.230228.1225.0043.TFM,KATL,KBOS,2023-03-01 14:49:00,2023-03-01 15:02:00,DAL
13,DAL995.DFW.BOS.230301.0120.0039.TFM,KDFW,KBOS,2023-03-02 04:47:00,2023-03-02 04:57:00,DAL
14,DAL2226.ATL.EWR.230228.2030.0066.TFM,KATL,KEWR,2023-03-01 22:21:00,2023-03-01 22:37:00,DAL
15,DAL419.ATL.LGA.230228.2020.0137.TFM,KATL,KLGA,2023-03-01 22:20:00,2023-03-01 22:35:00,DAL
16,DAL635.ATL.DCA.230228.1610.0087.TFM,KATL,KDCA,2023-03-01 18:05:00,2023-03-01 17:49:00,DAL
17,DAL806.BOS.ATL.230228.1615.0119.TFM,KBOS,KATL,2023-03-01 19:10:00,2023-03-01 19:15:00,DAL
18,DAL2890.JFK.ATL.230228.2200.0183.TFM,KJFK,KATL,2023-03-02 00:15:00,2023-03-02 00:40:00,DAL
