hour,airport_icao_names,cumulative_delay,edge_index
4,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
5,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
6,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
7,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
8,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[4, 3],
        [3, 0]])"
9,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[5, 5, 1],
        [2, 1, 5]])"
10,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[0, 2, 2],
        [2, 6, 0]])"
11,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[3, 1, 2, 0],
        [2, 5, 1, 3]])"
12,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[0, 6],
        [2, 2]])"
13,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[5],
        [1]])"
14,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [16.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[2, 5, 2, 2, 1],
        [6, 1, 3, 5, 2]])"
15,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[6, 1, 2, 1],
        [2, 5, 0, 5]])"
16,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[6, 2],
        [2, 1]])"
17,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [16.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[2, 1, 3, 5],
        [6, 5, 2, 2]])"
18,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[2, 3, 0],
        [5, 4, 2]])"
19,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [16.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[1, 2],
        [2, 0]])"
20,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [16.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[4, 5],
        [3, 1]])"
21,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.],
        [0.]])","tensor([[5, 2],
        [2, 5]])"
22,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [16.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[0, 3],
        [2, 2]])"
23,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [16.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([[5, 3],
        [1, 4]])"
24,['KATL' 'KBOS' 'KDCA' 'KEWR' 'KIAD' 'KJFK' 'KLGA'],"tensor([[ 0.],
        [ 0.],
        [16.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.]])","tensor([], size=(2, 0), dtype=torch.int64)"
