gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
RPA4591.DCA.LGA.230228.2105.0075.TFM,KDCA,KLGA,2023-03-01 22:03:00,2023-03-01 22:24:00,RPA,2023-03-01 17:03:00,2023-03-01 17:24:00,6.0,2.0,0.0,2023-03-01,22:03:00,2023-03-01,17:03:00,0.0
RPA3594.IAD.EWR.230301.0025.0153.TFM,KIAD,KEWR,2023-03-02 01:27:00,2023-03-02 01:49:00,RPA,2023-03-01 20:27:00,2023-03-01 20:49:00,3.0,4.0,0.0,2023-03-02,01:27:00,2023-03-01,20:27:00,0.0
RPA4399.LGA.DCA.230228.1900.0121.TFM,KLGA,KDCA,2023-03-01 20:05:00,2023-03-01 20:25:00,RPA,2023-03-01 15:05:00,2023-03-01 15:25:00,2.0,6.0,0.0,2023-03-01,20:05:00,2023-03-01,15:05:00,0.0
RPA4383.DCA.LGA.230228.1800.0042.TFM,KDCA,KLGA,2023-03-01 19:31:00,2023-03-01 19:18:00,RPA,2023-03-01 14:31:00,2023-03-01 14:18:00,6.0,2.0,0.0,2023-03-01,19:31:00,2023-03-01,14:31:00,0.0
RPA4500.JFK.DCA.230228.1230.0071.TFM,KJFK,KDCA,2023-03-01 14:15:00,2023-03-01 14:07:00,RPA,2023-03-01 09:15:00,2023-03-01 09:07:00,2.0,5.0,0.0,2023-03-01,14:15:00,2023-03-01,09:15:00,0.0
RPA3480.EWR.DCA.230228.1530.0073.TFM,KEWR,KDCA,2023-03-01 16:49:00,2023-03-01 16:52:00,RPA,2023-03-01 11:49:00,2023-03-01 11:52:00,2.0,3.0,0.0,2023-03-01,16:49:00,2023-03-01,11:49:00,0.0
RPA4378.BOS.JFK.230228.2110.0056.TFM,KBOS,KJFK,2023-03-01 22:27:00,2023-03-01 22:29:00,RPA,2023-03-01 17:27:00,2023-03-01 17:29:00,5.0,1.0,0.0,2023-03-01,22:27:00,2023-03-01,17:27:00,0.0
RPA4360.BOS.JFK.230228.1545.0064.TFM,KBOS,KJFK,2023-03-01 16:58:00,2023-03-01 17:00:00,RPA,2023-03-01 11:58:00,2023-03-01 12:00:00,5.0,1.0,0.0,2023-03-01,16:58:00,2023-03-01,11:58:00,0.0
RPA4467.ATL.DCA.230228.1620.0122.TFM,KATL,KDCA,2023-03-01 17:59:00,2023-03-01 18:15:00,RPA,2023-03-01 12:59:00,2023-03-01 13:15:00,2.0,0.0,0.0,2023-03-01,17:59:00,2023-03-01,12:59:00,0.0
RPA4409.JFK.BOS.230228.1815.0037.TFM,KJFK,KBOS,2023-03-01 19:14:00,2023-03-01 19:26:00,RPA,2023-03-01 14:14:00,2023-03-01 14:26:00,1.0,5.0,0.0,2023-03-01,19:14:00,2023-03-01,14:14:00,0.0
RPA3475.IAD.EWR.230228.1205.0039.TFM,KIAD,KEWR,2023-03-01 13:12:00,2023-03-01 13:30:00,RPA,2023-03-01 08:12:00,2023-03-01 08:30:00,3.0,4.0,0.0,2023-03-01,13:12:00,2023-03-01,08:12:00,0.0
RPA4326.ATL.DCA.230301.0140.0088.TFM,KATL,KDCA,2023-03-02 03:23:00,2023-03-02 03:33:00,RPA,2023-03-01 22:23:00,2023-03-01 22:33:00,2.0,0.0,0.0,2023-03-02,03:23:00,2023-03-01,22:23:00,0.0
RPA4781.DCA.JFK.230228.2200.0156.TFM,KDCA,KJFK,2023-03-01 23:31:00,2023-03-01 23:35:00,RPA,2023-03-01 18:31:00,2023-03-01 18:35:00,5.0,2.0,0.0,2023-03-01,23:31:00,2023-03-01,18:31:00,0.0
RPA4711.ATL.DCA.230228.1400.0289.TFM,KATL,KDCA,2023-03-01 15:48:00,2023-03-01 16:00:00,RPA,2023-03-01 10:48:00,2023-03-01 11:00:00,2.0,0.0,0.0,2023-03-01,15:48:00,2023-03-01,10:48:00,0.0
RPA4379.DCA.BOS.230228.1500.0116.TFM,KDCA,KBOS,2023-03-01 16:36:00,2023-03-01 16:39:00,RPA,2023-03-01 11:36:00,2023-03-01 11:39:00,1.0,2.0,0.0,2023-03-01,16:36:00,2023-03-01,11:36:00,0.0
RPA4781.JFK.DCA.230301.0030.0124.TFM,KJFK,KDCA,2023-03-02 02:29:00,2023-03-02 02:29:00,RPA,2023-03-01 21:29:00,2023-03-01 21:29:00,2.0,5.0,0.0,2023-03-02,02:29:00,2023-03-01,21:29:00,0.0
RPA4410.BOS.JFK.230228.2000.0106.TFM,KBOS,KJFK,2023-03-01 20:59:00,2023-03-01 21:19:00,RPA,2023-03-01 15:59:00,2023-03-01 16:19:00,5.0,1.0,0.0,2023-03-01,20:59:00,2023-03-01,15:59:00,0.0
RPA4393.JFK.BOS.230228.1330.0107.TFM,KJFK,KBOS,2023-03-01 14:33:00,2023-03-01 15:01:00,RPA,2023-03-01 09:33:00,2023-03-01 10:01:00,1.0,5.0,0.0,2023-03-01,14:33:00,2023-03-01,09:33:00,0.0
RPA4383.LGA.DCA.230228.2000.0110.TFM,KLGA,KDCA,2023-03-01 21:23:00,2023-03-01 21:35:00,RPA,2023-03-01 16:23:00,2023-03-01 16:35:00,2.0,6.0,0.0,2023-03-01,21:23:00,2023-03-01,16:23:00,0.0
RPA4802.DCA.ATL.230228.1900.0111.TFM,KDCA,KATL,2023-03-01 20:57:00,2023-03-01 21:13:00,RPA,2023-03-01 15:57:00,2023-03-01 16:13:00,0.0,2.0,0.0,2023-03-01,20:57:00,2023-03-01,15:57:00,0.0
RPA3602.EWR.ATL.230228.1115.0025.TFM,KEWR,KATL,2023-03-01 13:40:00,2023-03-01 13:53:00,RPA,2023-03-01 08:40:00,2023-03-01 08:53:00,0.0,3.0,0.0,2023-03-01,13:40:00,2023-03-01,08:40:00,0.0
RPA4551.DCA.LGA.230228.1400.0295.TFM,KDCA,KLGA,2023-03-01 15:19:00,2023-03-01 15:31:00,RPA,2023-03-01 10:19:00,2023-03-01 10:31:00,6.0,2.0,0.0,2023-03-01,15:19:00,2023-03-01,10:19:00,0.0
RPA3656.EWR.IAD.230228.2200.0174.TFM,KEWR,KIAD,2023-03-01 23:14:00,2023-03-01 23:20:00,RPA,2023-03-01 18:14:00,2023-03-01 18:20:00,4.0,3.0,0.0,2023-03-01,23:14:00,2023-03-01,18:14:00,0.0
RPA4349.JFK.BOS.230301.0025.0159.TFM,KJFK,KBOS,2023-03-02 01:39:00,2023-03-02 01:38:00,RPA,2023-03-01 20:39:00,2023-03-01 20:38:00,1.0,5.0,0.0,2023-03-02,01:39:00,2023-03-01,20:39:00,0.0
RPA4302.BOS.JFK.230228.1310.0104.TFM,KBOS,KJFK,2023-03-01 14:25:00,2023-03-01 14:29:00,RPA,2023-03-01 09:25:00,2023-03-01 09:29:00,5.0,1.0,0.0,2023-03-01,14:25:00,2023-03-01,09:25:00,0.0
RPA4300.JFK.BOS.230301.0330.0134.TFM,KJFK,KBOS,2023-03-02 04:26:00,2023-03-02 04:42:00,RPA,2023-03-01 23:26:00,2023-03-01 23:42:00,1.0,5.0,0.0,2023-03-02,04:26:00,2023-03-01,23:26:00,0.0
RPA4486.DCA.JFK.230301.0055.0047.TFM,KDCA,KJFK,2023-03-02 02:32:00,2023-03-02 02:17:00,RPA,2023-03-01 21:32:00,2023-03-01 21:17:00,5.0,2.0,0.0,2023-03-02,02:32:00,2023-03-01,21:32:00,0.0
