,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
0,RPA4500.JFK.DCA.230222.1250.0053.TFM,KJFK,KDCA,2023-02-23 14:05:00,2023-02-23 14:24:00,RPA
1,RPA4365.BOS.JFK.230222.1910.0029.TFM,KBOS,KJFK,2023-02-23 21:01:00,2023-02-23 20:29:00,RPA
2,RPA3602.EWR.ATL.230222.1115.0020.TFM,KEWR,KATL,2023-02-23 13:47:00,2023-02-23 13:35:00,RPA
3,RPA3527.DCA.EWR.230222.1100.0036.TFM,KDCA,KEWR,2023-02-23 12:01:00,2023-02-23 11:53:00,RPA
4,RPA4467.ATL.DCA.230222.1640.0060.TFM,KATL,KDCA,2023-02-23 20:23:00,2023-02-23 18:28:00,RPA
5,RPA4367.DCA.BOS.230222.2000.0150.TFM,KDCA,KBOS,2023-02-23 22:56:00,2023-02-23 21:42:00,RPA
6,RPA4781.DCA.JFK.230222.2200.0106.TFM,KDCA,KJFK,2023-02-23 23:16:00,2023-02-23 23:29:00,RPA
7,RPA4467.DCA.ATL.230222.1340.0082.TFM,KDCA,KATL,2023-02-23 18:13:00,2023-02-23 15:53:00,RPA
8,RPA4711.ATL.DCA.230222.1400.0058.TFM,KATL,KDCA,2023-02-23 15:41:00,2023-02-23 16:00:00,RPA
9,RPA4383.DCA.LGA.230222.1800.0102.TFM,KDCA,KLGA,2023-02-23 19:27:00,2023-02-23 19:20:00,RPA
10,RPA4591.DCA.LGA.230222.2110.0097.TFM,KDCA,KLGA,2023-02-23 22:14:00,2023-02-23 22:27:00,RPA
11,RPA4542.ATL.DCA.230222.1105.0048.TFM,KATL,KDCA,2023-02-23 12:51:00,2023-02-23 12:59:00,RPA
12,RPA4379.DCA.BOS.230222.1500.0141.TFM,KDCA,KBOS,2023-02-23 16:27:00,2023-02-23 16:40:00,RPA
13,RPA4383.LGA.DCA.230222.2000.0139.TFM,KLGA,KDCA,2023-02-23 21:34:00,2023-02-23 21:45:00,RPA
14,RPA4518.DCA.ATL.230222.1100.0047.TFM,KDCA,KATL,2023-02-23 12:40:00,2023-02-23 13:14:00,RPA
15,RPA4546.DCA.ATL.230222.1850.0074.TFM,KDCA,KATL,2023-02-23 20:47:00,2023-02-23 20:52:00,RPA
16,RPA3475.IAD.EWR.230222.1210.0084.TFM,KIAD,KEWR,2023-02-23 13:14:00,2023-02-23 13:00:00,RPA
17,RPA4399.LGA.DCA.230222.1900.0075.TFM,KLGA,KDCA,2023-02-23 20:18:00,2023-02-23 20:30:00,RPA
18,RPA3480.EWR.DCA.230222.1530.0107.TFM,KEWR,KDCA,2023-02-23 16:34:00,2023-02-23 16:52:00,RPA
19,RPA3517.EWR.DCA.230222.2130.0083.TFM,KEWR,KDCA,2023-02-23 23:30:00,2023-02-23 22:52:00,RPA
