gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
UAL645.LAX.EWR.230222.0755.0028.TFM,KLAX,KEWR,2023-02-23 12:11:00,2023-02-23 12:57:00,UAL,2023-02-23 07:11:00,2023-02-23 07:57:00,5.0,7.0,0.0,2023-02-23,12:11:00,2023-02-23,07:11:00,
UAL2034.SFO.LAX.230222.0655.0024.TFM,KSFO,KLAX,2023-02-23 08:46:00,2023-02-23 08:15:00,UAL,2023-02-23 03:46:00,2023-02-23 03:15:00,7.0,9.0,31.0,2023-02-23,08:46:00,2023-02-23,03:46:00,31.0
UAL700.IAD.SFO.230222.1345.0097.TFM,KIAD,KSFO,2023-02-23 23:02:00,2023-02-23 19:34:00,UAL,2023-02-23 18:02:00,2023-02-23 14:34:00,9.0,6.0,208.0,2023-02-23,23:02:00,2023-02-23,18:02:00,
UAL592.BOS.EWR.230222.1535.0104.TFM,KBOS,KEWR,2023-02-23 18:02:00,2023-02-23 17:01:00,UAL,2023-02-23 13:02:00,2023-02-23 12:01:00,5.0,1.0,61.0,2023-02-23,18:02:00,2023-02-23,13:02:00,
UAL606.EWR.BOS.230222.1330.0070.TFM,KEWR,KBOS,2023-02-23 15:21:00,2023-02-23 14:41:00,UAL,2023-02-23 10:21:00,2023-02-23 09:41:00,1.0,5.0,40.0,2023-02-23,15:21:00,2023-02-23,10:21:00,
UAL1030.BOS.SFO.230222.1625.0117.TFM,KBOS,KSFO,2023-02-23 23:22:00,2023-02-23 22:51:00,UAL,2023-02-23 18:22:00,2023-02-23 17:51:00,9.0,1.0,31.0,2023-02-23,23:22:00,2023-02-23,18:22:00,
UAL535.EWR.LAX.230222.1330.0062.TFM,KEWR,KLAX,2023-02-23 19:54:00,2023-02-23 19:49:00,UAL,2023-02-23 14:54:00,2023-02-23 14:49:00,7.0,5.0,0.0,2023-02-23,19:54:00,2023-02-23,14:54:00,
UAL2314.IAD.DFW.230222.1340.0102.TFM,KIAD,KDFW,2023-02-23 17:16:00,2023-02-23 17:12:00,UAL,2023-02-23 12:16:00,2023-02-23 12:12:00,4.0,6.0,0.0,2023-02-23,17:16:00,2023-02-23,12:16:00,
UAL1395.LAX.IAD.230222.1850.0119.TFM,KLAX,KIAD,2023-02-23 22:58:00,2023-02-23 23:37:00,UAL,2023-02-23 17:58:00,2023-02-23 18:37:00,6.0,7.0,0.0,2023-02-23,22:58:00,2023-02-23,17:58:00,
UAL667.IAD.LAX.230222.1340.0034.TFM,KIAD,KLAX,2023-02-23 19:27:00,2023-02-23 19:27:00,UAL,2023-02-23 14:27:00,2023-02-23 14:27:00,7.0,6.0,0.0,2023-02-23,19:27:00,2023-02-23,14:27:00,
UAL2245.EWR.SEA.230222.1145.0079.TFM,KEWR,KSEA,2023-02-23 17:42:00,2023-02-23 17:54:00,UAL,2023-02-23 12:42:00,2023-02-23 12:54:00,8.0,5.0,0.0,2023-02-23,17:42:00,2023-02-23,12:42:00,
UAL1662.EWR.SFO.230222.0115.0065.TFM,KEWR,KSFO,2023-02-23 08:05:00,2023-02-23 07:54:00,UAL,2023-02-23 03:05:00,2023-02-23 02:54:00,9.0,5.0,0.0,2023-02-23,08:05:00,2023-02-23,03:05:00,0.0
UAL1665.SFO.BOS.230222.0705.0026.TFM,KSFO,KBOS,2023-02-23 12:55:00,2023-02-23 12:09:00,UAL,2023-02-23 07:55:00,2023-02-23 07:09:00,1.0,9.0,46.0,2023-02-23,12:55:00,2023-02-23,07:55:00,
UAL501.SFO.LAX.230222.1625.0112.TFM,KSFO,KLAX,2023-02-23 17:52:00,2023-02-23 18:02:00,UAL,2023-02-23 12:52:00,2023-02-23 13:02:00,7.0,9.0,0.0,2023-02-23,17:52:00,2023-02-23,12:52:00,
UAL1954.SFO.DCA.230222.1655.0031.TFM,KSFO,KDCA,2023-02-23 21:21:00,2023-02-23 21:57:00,UAL,2023-02-23 16:21:00,2023-02-23 16:57:00,3.0,9.0,0.0,2023-02-23,21:21:00,2023-02-23,16:21:00,
UAL2395.LAX.EWR.230222.0505.0014.TFM,KLAX,KEWR,2023-02-23 09:38:00,2023-02-23 10:00:00,UAL,2023-02-23 04:38:00,2023-02-23 05:00:00,5.0,7.0,0.0,2023-02-23,09:38:00,2023-02-23,04:38:00,
UAL1450.EWR.BOS.230222.1155.0042.TFM,KEWR,KBOS,2023-02-23 13:29:00,2023-02-23 12:54:00,UAL,2023-02-23 08:29:00,2023-02-23 07:54:00,1.0,5.0,35.0,2023-02-23,13:29:00,2023-02-23,08:29:00,
UAL308.SFO.DFW.230222.0800.0043.TFM,KSFO,KDFW,2023-02-23 11:10:00,2023-02-23 11:15:00,UAL,2023-02-23 06:10:00,2023-02-23 06:15:00,4.0,9.0,0.0,2023-02-23,11:10:00,2023-02-23,06:10:00,
UAL1008.EWR.SFO.230222.2015.0134.TFM,KEWR,KSFO,2023-02-24 02:42:00,2023-02-24 02:29:00,UAL,2023-02-23 21:42:00,2023-02-23 21:29:00,9.0,5.0,0.0,2023-02-24,02:42:00,2023-02-23,21:42:00,
UAL2319.EWR.DFW.230222.2100.0261.TFM,KEWR,KDFW,2023-02-24 01:30:00,2023-02-24 01:01:00,UAL,2023-02-23 20:30:00,2023-02-23 20:01:00,4.0,5.0,29.0,2023-02-24,01:30:00,2023-02-23,20:30:00,
UAL410.EWR.BOS.230222.1730.0135.TFM,KEWR,KBOS,2023-02-23 18:20:00,2023-02-23 18:40:00,UAL,2023-02-23 13:20:00,2023-02-23 13:40:00,1.0,5.0,0.0,2023-02-23,18:20:00,2023-02-23,13:20:00,
UAL2278.SEA.EWR.230222.0525.0009.TFM,KSEA,KEWR,2023-02-23 10:08:00,2023-02-23 10:42:00,UAL,2023-02-23 05:08:00,2023-02-23 05:42:00,5.0,8.0,0.0,2023-02-23,10:08:00,2023-02-23,05:08:00,
UAL1093.LAX.SFO.230222.1840.0151.TFM,KLAX,KSFO,2023-02-23 20:20:00,2023-02-23 20:13:00,UAL,2023-02-23 15:20:00,2023-02-23 15:13:00,9.0,7.0,0.0,2023-02-23,20:20:00,2023-02-23,15:20:00,
UAL2097.SFO.EWR.230222.0515.0029.TFM,KSFO,KEWR,2023-02-23 10:01:00,2023-02-23 10:41:00,UAL,2023-02-23 05:01:00,2023-02-23 05:41:00,5.0,9.0,0.0,2023-02-23,10:01:00,2023-02-23,05:01:00,
UAL1991.EWR.SFO.230222.1500.0274.TFM,KEWR,KSFO,2023-02-23 21:19:00,2023-02-23 21:15:00,UAL,2023-02-23 16:19:00,2023-02-23 16:15:00,9.0,5.0,0.0,2023-02-23,21:19:00,2023-02-23,16:19:00,
