hour,airport_icao_names,cumulative_delay,edge_index
4,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [21.],
        [ 0.],
        [ 0.]])","tensor([[9, 6],
        [5, 7]])"
5,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [ 0.],
        [21.],
        [ 0.],
        [ 0.]])","tensor([[7, 8],
        [5, 5]])"
6,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 0.],
        [19.],
        [ 0.],
        [ 0.],
        [ 0.],
        [75.],
        [ 0.],
        [21.],
        [ 0.],
        [ 0.]])","tensor([[9, 7, 9, 7, 8, 7, 6],
        [2, 1, 4, 6, 6, 2, 5]])"
7,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 19.],
        [  0.],
        [  0.],
        [  0.],
        [105.],
        [  0.],
        [ 21.],
        [  0.],
        [  0.]])","tensor([[9, 9, 9, 1, 1, 5, 7, 9],
        [1, 6, 5, 5, 6, 6, 5, 5]])"
8,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 67.],
        [  0.],
        [  0.],
        [  0.],
        [121.],
        [  0.],
        [ 21.],
        [  0.],
        [  0.]])","tensor([[0, 5, 1],
        [5, 1, 5]])"
9,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 18.],
        [ 19.],
        [  0.],
        [  0.],
        [  0.],
        [121.],
        [  0.],
        [ 21.],
        [  0.],
        [  0.]])","tensor([[6, 5, 6, 4],
        [5, 1, 0, 5]])"
10,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 19.],
        [  0.],
        [  0.],
        [  0.],
        [121.],
        [  0.],
        [ 21.],
        [  0.],
        [ 21.]])","tensor([[5, 8, 6, 1],
        [0, 9, 1, 5]])"
11,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 67.],
        [  0.],
        [  0.],
        [331.],
        [105.],
        [ 44.],
        [ 76.],
        [  0.],
        [ 43.]])","tensor([[0, 6, 5, 1, 5, 4, 5, 8, 1],
        [6, 9, 4, 5, 1, 9, 6, 7, 6]])"
12,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 18.],
        [ 67.],
        [  0.],
        [  0.],
        [331.],
        [105.],
        [ 44.],
        [ 59.],
        [  0.],
        [122.]])","tensor([[5, 9, 5, 5, 7, 5, 6, 5, 2],
        [8, 7, 9, 7, 9, 0, 4, 1, 9]])"
13,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 18.],
        [ 19.],
        [  0.],
        [  0.],
        [331.],
        [175.],
        [ 44.],
        [ 59.],
        [  0.],
        [ 43.]])","tensor([[6, 5, 1, 6, 0, 4, 1],
        [5, 1, 9, 1, 5, 5, 5]])"
14,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 19.],
        [  0.],
        [  0.],
        [  0.],
        [105.],
        [ 44.],
        [ 76.],
        [ 96.],
        [122.]])","tensor([[6, 7, 5, 6, 7, 9, 5, 5, 2, 8, 6, 6],
        [0, 5, 4, 9, 9, 5, 9, 7, 7, 9, 8, 7]])"
15,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 47.],
        [ 19.],
        [  0.],
        [  0.],
        [331.],
        [121.],
        [  0.],
        [ 94.],
        [ 96.],
        [  0.]])","tensor([[5, 4, 7, 9, 1, 9, 1, 5, 4, 9, 5, 1],
        [9, 6, 6, 7, 6, 6, 5, 4, 5, 8, 0, 7]])"
16,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 47.],
        [ 67.],
        [  0.],
        [  0.],
        [331.],
        [121.],
        [  0.],
        [ 94.],
        [ 96.],
        [  0.]])","tensor([[9, 7, 0, 5, 1, 5, 7, 0, 9],
        [1, 1, 6, 6, 5, 1, 5, 5, 3]])"
17,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 47.],
        [ 19.],
        [  0.],
        [  0.],
        [331.],
        [105.],
        [  0.],
        [ 59.],
        [ 96.],
        [122.]])","tensor([[5, 7, 9, 5, 7, 1, 7],
        [7, 6, 5, 1, 5, 9, 9]])"
18,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[ 18.],
        [ 19.],
        [  0.],
        [  0.],
        [355.],
        [121.],
        [  0.],
        [ 76.],
        [ 40.],
        [ 43.]])","tensor([[9, 5, 1, 6, 9, 5, 9, 6, 6, 6, 4, 5, 9, 5, 5],
        [6, 1, 5, 1, 7, 0, 8, 5, 9, 7, 5, 9, 0, 4, 7]])"
19,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 67.],
        [  0.],
        [  0.],
        [355.],
        [121.],
        [  0.],
        [ 76.],
        [ 40.],
        [ 43.]])","tensor([[1, 6, 5, 0, 6, 5, 9],
        [5, 0, 0, 5, 9, 1, 1]])"
20,['KATL' 'KBOS' 'KBWI' 'KDCA' 'KDFW' 'KEWR' 'KIAD' 'KLAX' 'KSEA' 'KSFO'],"tensor([[  0.],
        [ 67.],
        [  0.],
        [  0.],
        [331.],
        [154.],
        [ 44.],
        [ 59.],
        [ 40.],
        [ 43.]])","tensor([[7, 9, 8, 1, 7, 9, 5, 5, 0, 5, 5, 5, 7, 9],
        [9, 6, 6, 5, 6, 7, 6, 7, 5, 9, 6, 4, 5, 5]])"
