,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
0,UAL645.LAX.EWR.230222.0755.0028.TFM,KLAX,KEWR,2023-02-23 12:11:00,2023-02-23 12:57:00,UAL
1,UAL2034.SFO.LAX.230222.0655.0024.TFM,KSFO,KLAX,2023-02-23 08:46:00,2023-02-23 08:15:00,UAL
2,UAL700.IAD.SFO.230222.1345.0097.TFM,KIAD,KSFO,2023-02-23 23:02:00,2023-02-23 19:34:00,UAL
3,UAL592.BOS.EWR.230222.1535.0104.TFM,KBOS,KEWR,2023-02-23 18:02:00,2023-02-23 17:01:00,UAL
4,UAL606.EWR.BOS.230222.1330.0070.TFM,KEWR,KBOS,2023-02-23 15:21:00,2023-02-23 14:41:00,UAL
5,UAL1030.BOS.SFO.230222.1625.0117.TFM,KBOS,KSFO,2023-02-23 23:22:00,2023-02-23 22:51:00,UAL
6,UAL535.EWR.LAX.230222.1330.0062.TFM,KEWR,KLAX,2023-02-23 19:54:00,2023-02-23 19:49:00,UAL
7,UAL2314.IAD.DFW.230222.1340.0102.TFM,KIAD,KDFW,2023-02-23 17:16:00,2023-02-23 17:12:00,UAL
8,UAL1395.LAX.IAD.230222.1850.0119.TFM,KLAX,KIAD,2023-02-23 22:58:00,2023-02-23 23:37:00,UAL
9,UAL667.IAD.LAX.230222.1340.0034.TFM,KIAD,KLAX,2023-02-23 19:27:00,2023-02-23 19:27:00,UAL
10,UAL2245.EWR.SEA.230222.1145.0079.TFM,KEWR,KSEA,2023-02-23 17:42:00,2023-02-23 17:54:00,UAL
11,UAL1662.EWR.SFO.230222.0115.0065.TFM,KEWR,KSFO,2023-02-23 08:05:00,2023-02-23 07:54:00,UAL
12,UAL1665.SFO.BOS.230222.0705.0026.TFM,KSFO,KBOS,2023-02-23 12:55:00,2023-02-23 12:09:00,UAL
13,UAL501.SFO.LAX.230222.1625.0112.TFM,KSFO,KLAX,2023-02-23 17:52:00,2023-02-23 18:02:00,UAL
14,UAL1954.SFO.DCA.230222.1655.0031.TFM,KSFO,KDCA,2023-02-23 21:21:00,2023-02-23 21:57:00,UAL
15,UAL2395.LAX.EWR.230222.0505.0014.TFM,KLAX,KEWR,2023-02-23 09:38:00,2023-02-23 10:00:00,UAL
16,UAL1450.EWR.BOS.230222.1155.0042.TFM,KEWR,KBOS,2023-02-23 13:29:00,2023-02-23 12:54:00,UAL
17,UAL308.SFO.DFW.230222.0800.0043.TFM,KSFO,KDFW,2023-02-23 11:10:00,2023-02-23 11:15:00,UAL
18,UAL1008.EWR.SFO.230222.2015.0134.TFM,KEWR,KSFO,2023-02-24 02:42:00,2023-02-24 02:29:00,UAL
19,UAL2319.EWR.DFW.230222.2100.0261.TFM,KEWR,KDFW,2023-02-24 01:30:00,2023-02-24 01:01:00,UAL
20,UAL410.EWR.BOS.230222.1730.0135.TFM,KEWR,KBOS,2023-02-23 18:20:00,2023-02-23 18:40:00,UAL
21,UAL2278.SEA.EWR.230222.0525.0009.TFM,KSEA,KEWR,2023-02-23 10:08:00,2023-02-23 10:42:00,UAL
22,UAL1093.LAX.SFO.230222.1840.0151.TFM,KLAX,KSFO,2023-02-23 20:20:00,2023-02-23 20:13:00,UAL
23,UAL2097.SFO.EWR.230222.0515.0029.TFM,KSFO,KEWR,2023-02-23 10:01:00,2023-02-23 10:41:00,UAL
24,UAL1991.EWR.SFO.230222.1500.0274.TFM,KEWR,KSFO,2023-02-23 21:19:00,2023-02-23 21:15:00,UAL
25,UAL2667.SFO.IAD.230222.2105.0043.TFM,KSFO,KIAD,2023-02-24 01:34:00,2023-02-24 01:49:00,UAL
26,UAL688.IAD.BOS.230222.2205.0083.TFM,KIAD,KBOS,2023-02-23 23:55:00,2023-02-23 23:38:00,UAL
27,UAL632.IAD.LAX.230222.1755.0024.TFM,KIAD,KLAX,2023-02-24 00:14:00,2023-02-23 23:31:00,UAL
28,UAL2247.SFO.IAD.230222.0735.0014.TFM,KSFO,KIAD,2023-02-23 13:15:00,2023-02-23 12:25:00,UAL
29,UAL251.BWI.LAX.230222.1335.0101.TFM,KBWI,KLAX,2023-02-23 19:36:00,2023-02-23 19:26:00,UAL
30,UAL2059.SFO.EWR.230222.0650.0008.TFM,KSFO,KEWR,2023-02-23 12:12:00,2023-02-23 12:04:00,UAL
31,UAL1911.IAD.EWR.230222.1740.0122.TFM,KIAD,KEWR,2023-02-23 18:51:00,2023-02-23 19:00:00,UAL
32,UAL436.SFO.BWI.230222.0700.0027.TFM,KSFO,KBWI,2023-02-23 11:34:00,2023-02-23 12:04:00,UAL
33,UAL305.EWR.ATL.230222.2015.0089.TFM,KEWR,KATL,2023-02-23 22:27:00,2023-02-23 22:45:00,UAL
34,UAL775.IAD.DFW.230222.2240.0035.TFM,KIAD,KDFW,2023-02-24 02:17:00,2023-02-24 02:06:00,UAL
35,UAL1964.IAD.SEA.230222.1335.0070.TFM,KIAD,KSEA,2023-02-23 18:59:00,2023-02-23 19:28:00,UAL
36,UAL2622.EWR.LAX.230222.1530.0218.TFM,KEWR,KLAX,2023-02-23 22:18:00,2023-02-23 21:34:00,UAL
37,UAL2215.EWR.LAX.230222.0130.0162.TFM,KEWR,KLAX,2023-02-23 07:58:00,2023-02-23 07:50:00,UAL
38,UAL788.EWR.SFO.230222.1115.0110.TFM,KEWR,KSFO,2023-02-23 17:30:00,2023-02-23 17:28:00,UAL
39,UAL1428.SFO.EWR.230222.2235.0139.TFM,KSFO,KEWR,2023-02-24 03:38:00,2023-02-24 03:45:00,UAL
40,UAL544.LAX.SFO.230222.2125.0148.TFM,KLAX,KSFO,2023-02-23 22:39:00,2023-02-23 22:58:00,UAL
41,UAL662.EWR.DFW.230222.1905.0042.TFM,KEWR,KDFW,2023-02-23 23:05:00,2023-02-23 23:07:00,UAL
42,UAL1605.LAX.BWI.230222.0735.0018.TFM,KLAX,KBWI,2023-02-23 11:56:00,2023-02-23 12:08:00,UAL
43,UAL1209.EWR.SFO.230222.2315.0115.TFM,KEWR,KSFO,2023-02-24 06:36:00,2023-02-24 05:37:00,UAL
44,UAL1785.BOS.IAD.230222.1045.0019.TFM,KBOS,KIAD,2023-02-23 14:25:00,2023-02-23 12:21:00,UAL
45,UAL1689.LAX.EWR.230222.1830.0189.TFM,KLAX,KEWR,2023-02-23 22:38:00,2023-02-23 23:01:00,UAL
46,UAL239.ATL.IAD.230222.1935.0132.TFM,KATL,KIAD,2023-02-23 20:57:00,2023-02-23 21:20:00,UAL
47,UAL2416.SFO.EWR.230222.0745.0016.TFM,KSFO,KEWR,2023-02-23 13:07:00,2023-02-23 12:59:00,UAL
48,UAL283.BWI.SFO.230222.1125.0023.TFM,KBWI,KSFO,2023-02-23 18:44:00,2023-02-23 17:37:00,UAL
49,UAL1240.SFO.DFW.230222.1835.0164.TFM,KSFO,KDFW,2023-02-23 23:42:00,2023-02-23 22:03:00,UAL
50,UAL1546.EWR.ATL.230222.2200.0220.TFM,KEWR,KATL,2023-02-24 00:53:00,2023-02-24 00:31:00,UAL
51,UAL2492.SEA.IAD.230222.0705.0010.TFM,KSEA,KIAD,2023-02-23 11:45:00,2023-02-23 11:58:00,UAL
52,UAL2032.SFO.IAD.230222.1625.0115.TFM,KSFO,KIAD,2023-02-23 21:02:00,2023-02-23 21:10:00,UAL
53,UAL395.EWR.SFO.230222.2215.0054.TFM,KEWR,KSFO,2023-02-24 05:51:00,2023-02-24 04:37:00,UAL
54,UAL1663.EWR.BOS.230222.1635.0090.TFM,KEWR,KBOS,2023-02-23 19:49:00,2023-02-23 17:45:00,UAL
55,UAL2614.LAX.EWR.230222.2100.0055.TFM,KLAX,KEWR,2023-02-24 03:04:00,2023-02-24 02:02:00,UAL
56,UAL517.BOS.EWR.230222.1735.0069.TFM,KBOS,KEWR,2023-02-23 19:31:00,2023-02-23 19:00:00,UAL
57,UAL1365.DFW.EWR.230222.1710.0110.TFM,KDFW,KEWR,2023-02-23 21:09:00,2023-02-23 20:30:00,UAL
58,UAL2318.EWR.LAX.230222.1115.0095.TFM,KEWR,KLAX,2023-02-23 18:29:00,2023-02-23 17:35:00,UAL
59,UAL222.ATL.EWR.230222.1115.0108.TFM,KATL,KEWR,2023-02-23 13:20:00,2023-02-23 13:26:00,UAL
60,UAL1511.SEA.LAX.230222.1420.0036.TFM,KSEA,KLAX,2023-02-23 16:47:00,2023-02-23 16:52:00,UAL
61,UAL374.ATL.EWR.230222.2205.0091.TFM,KATL,KEWR,2023-02-24 00:14:00,2023-02-24 00:20:00,UAL
62,UAL2490.EWR.LAX.230222.2100.0256.TFM,KEWR,KLAX,2023-02-24 03:48:00,2023-02-24 03:19:00,UAL
63,UAL1703.LAX.IAD.230222.0755.0017.TFM,KLAX,KIAD,2023-02-23 12:10:00,2023-02-23 12:32:00,UAL
64,UAL1671.LAX.IAD.230222.1615.0164.TFM,KLAX,KIAD,2023-02-23 20:35:00,2023-02-23 20:54:00,UAL
65,UAL1746.BOS.EWR.230222.1945.0173.TFM,KBOS,KEWR,2023-02-23 21:47:00,2023-02-23 21:10:00,UAL
66,UAL1228.EWR.IAD.230222.1115.0093.TFM,KEWR,KIAD,2023-02-23 12:15:00,2023-02-23 12:34:00,UAL
67,UAL1225.SFO.EWR.230222.1915.0084.TFM,KSFO,KEWR,2023-02-24 00:07:00,2023-02-24 00:30:00,UAL
68,UAL1742.IAD.SFO.230222.1740.0127.TFM,KIAD,KSFO,2023-02-23 23:53:00,2023-02-23 23:21:00,UAL
69,UAL473.EWR.SFO.230222.1915.0106.TFM,KEWR,KSFO,2023-02-24 03:49:00,2023-02-24 01:46:00,UAL
70,UAL751.ATL.EWR.230222.1615.0025.TFM,KATL,KEWR,2023-02-23 18:05:00,2023-02-23 18:25:00,UAL
71,UAL247.LAX.EWR.230221.2330.0077.TFM,KLAX,KEWR,2023-02-23 04:02:00,2023-02-23 04:39:00,UAL
72,UAL1470.BOS.IAD.230222.1920.0046.TFM,KBOS,KIAD,2023-02-23 21:11:00,2023-02-23 21:02:00,UAL
73,UAL1117.LAX.EWR.230222.1630.0237.TFM,KLAX,KEWR,2023-02-23 21:24:00,2023-02-23 21:30:00,UAL
74,UAL2371.DFW.SFO.230222.1305.0053.TFM,KDFW,KSFO,2023-02-23 16:47:00,2023-02-23 17:15:00,UAL
75,UAL2403.EWR.LAX.230222.1930.0152.TFM,KEWR,KLAX,2023-02-24 02:37:00,2023-02-24 01:32:00,UAL
76,UAL2150.DFW.IAD.230222.2340.0040.TFM,KDFW,KIAD,2023-02-24 02:04:00,2023-02-24 02:20:00,UAL
77,UAL2424.LAX.BOS.230222.0705.0013.TFM,KLAX,KBOS,2023-02-23 12:02:00,2023-02-23 12:27:00,UAL
78,UAL560.DFW.EWR.230222.2020.0025.TFM,KDFW,KEWR,2023-02-24 00:00:00,2023-02-23 23:40:00,UAL
79,UAL2657.IAD.EWR.230222.1320.0016.TFM,KIAD,KEWR,2023-02-23 14:15:00,2023-02-23 14:22:00,UAL
80,UAL1230.IAD.SFO.230222.1900.0180.TFM,KIAD,KSFO,2023-02-24 04:38:00,2023-02-24 01:05:00,UAL
81,UAL2413.EWR.DFW.230222.1645.0100.TFM,KEWR,KDFW,2023-02-23 20:41:00,2023-02-23 20:50:00,UAL
82,UAL1003.DFW.EWR.230222.1445.0151.TFM,KDFW,KEWR,2023-02-23 17:29:00,2023-02-23 18:00:00,UAL
83,UAL2170.EWR.DFW.230222.1145.0085.TFM,KEWR,KDFW,2023-02-23 15:41:00,2023-02-23 15:48:00,UAL
84,UAL320.ATL.IAD.230222.1430.0068.TFM,KATL,KIAD,2023-02-23 16:03:00,2023-02-23 16:15:00,UAL
85,UAL2275.SEA.IAD.230222.2045.0199.TFM,KSEA,KIAD,2023-02-24 01:10:00,2023-02-24 01:42:00,UAL
86,UAL1891.EWR.BOS.230222.2220.0160.TFM,KEWR,KBOS,2023-02-23 23:55:00,2023-02-23 23:30:00,UAL
87,UAL2652.SEA.SFO.230222.1725.0019.TFM,KSEA,KSFO,2023-02-23 19:26:00,2023-02-23 19:38:00,UAL
88,UAL1312.EWR.SFO.230222.1315.0124.TFM,KEWR,KSFO,2023-02-23 19:47:00,2023-02-23 19:34:00,UAL
89,UAL1780.SEA.SFO.230222.1330.0250.TFM,KSEA,KSFO,2023-02-23 15:26:00,2023-02-23 15:28:00,UAL
90,UAL601.BOS.EWR.230222.1100.0026.TFM,KBOS,KEWR,2023-02-23 13:18:00,2023-02-23 12:29:00,UAL
91,UAL299.BOS.SFO.230222.1320.0022.TFM,KBOS,KSFO,2023-02-23 21:15:00,2023-02-23 20:08:00,UAL
92,UAL1986.SFO.SEA.230222.1710.0134.TFM,KSFO,KSEA,2023-02-23 19:35:00,2023-02-23 19:27:00,UAL
93,UAL2652.SFO.BOS.230222.2120.0029.TFM,KSFO,KBOS,2023-02-24 03:46:00,2023-02-24 02:53:00,UAL
94,UAL1442.SFO.EWR.230222.1630.0228.TFM,KSFO,KEWR,2023-02-23 21:57:00,2023-02-23 21:47:00,UAL
95,UAL2085.LAX.EWR.230222.1430.0208.TFM,KLAX,KEWR,2023-02-23 19:02:00,2023-02-23 19:15:00,UAL
96,UAL2642.IAD.ATL.230222.1315.0125.TFM,KIAD,KATL,2023-02-23 15:03:00,2023-02-23 15:04:00,UAL
97,UAL2187.SFO.BOS.230222.1625.0098.TFM,KSFO,KBOS,2023-02-23 21:28:00,2023-02-23 22:00:00,UAL
98,UAL1936.EWR.IAD.230222.1430.0216.TFM,KEWR,KIAD,2023-02-23 15:41:00,2023-02-23 15:46:00,UAL
99,UAL1213.EWR.ATL.230222.1800.0153.TFM,KEWR,KATL,2023-02-23 20:47:00,2023-02-23 20:31:00,UAL
100,UAL1601.EWR.BOS.230222.2000.0181.TFM,KEWR,KBOS,2023-02-23 21:26:00,2023-02-23 21:11:00,UAL
101,UAL651.IAD.ATL.230222.1755.0027.TFM,KIAD,KATL,2023-02-23 20:26:00,2023-02-23 19:53:00,UAL
102,UAL1896.SEA.SFO.230222.2115.0144.TFM,KSEA,KSFO,2023-02-23 23:15:00,2023-02-23 23:26:00,UAL
103,UAL570.BOS.EWR.230222.1230.0052.TFM,KBOS,KEWR,2023-02-23 14:51:00,2023-02-23 13:59:00,UAL
104,UAL277.IAD.SFO.230222.1115.0080.TFM,KIAD,KSFO,2023-02-23 17:36:00,2023-02-23 17:23:00,UAL
105,UAL1992.EWR.IAD.230222.2000.0248.TFM,KEWR,KIAD,2023-02-23 21:09:00,2023-02-23 21:14:00,UAL
106,UAL549.SFO.BOS.230222.1900.0187.TFM,KSFO,KBOS,2023-02-24 01:12:00,2023-02-24 00:33:00,UAL
107,UAL641.IAD.BOS.230222.1400.0395.TFM,KIAD,KBOS,2023-02-23 15:48:00,2023-02-23 15:19:00,UAL
108,UAL1654.LAX.BOS.230222.1620.0061.TFM,KLAX,KBOS,2023-02-23 20:54:00,2023-02-23 21:40:00,UAL
