,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
0,GJS4591.DCA.EWR.230228.1400.0229.TFM,KDCA,KEWR,2023-03-01 14:58:00,2023-03-01 15:25:00,GJS
1,DAL2888.SEA.SFO.230228.1520.0068.TFM,KSEA,KSFO,2023-03-01 17:16:00,2023-03-01 17:36:00,DAL
2,DAL2614.LAX.SFO.230228.1400.0238.TFM,KLAX,KSFO,2023-03-01 15:12:00,2023-03-01 15:26:00,DAL
3,AAL1403.BWI.DFW.230228.1130.0166.TFM,KBWI,KDFW,2023-03-01 15:27:00,2023-03-01 15:10:00,AAL
4,AAL274.LAX.JFK.230228.1945.0165.TFM,KLAX,KJFK,2023-03-02 00:58:00,2023-03-02 01:07:00,AAL
5,SKW3801.JFK.IAD.230228.1700.0038.TFM,KJFK,KIAD,2023-03-01 18:22:00,2023-03-01 18:20:00,SKW
6,DAL323.JFK.SFO.230228.0240.0087.TFM,KJFK,KSFO,2023-03-01 11:29:00,2023-03-01 09:27:00,DAL
7,DAL316.ATL.DCA.230228.1440.0091.TFM,KATL,KDCA,2023-03-01 16:19:00,2023-03-01 16:19:00,DAL
8,AAL28.LAX.JFK.230227.0700.0086.TFM,KLAX,KJFK,2023-03-01 00:36:00,2023-02-28 12:26:00,AAL
9,UAL2187.SFO.BOS.230228.1625.0096.TFM,KSFO,KBOS,2023-03-01 21:46:00,2023-03-01 22:00:00,UAL
10,DAL528.ATL.LGA.230228.1715.0069.TFM,KATL,KLGA,2023-03-01 19:20:00,2023-03-01 19:27:00,DAL
11,DAL655.SEA.ATL.230228.1400.0334.TFM,KSEA,KATL,2023-03-01 18:43:00,2023-03-01 18:38:00,DAL
12,DAL538.LAX.JFK.230228.1400.0341.TFM,KLAX,KJFK,2023-03-01 18:31:00,2023-03-01 19:20:00,DAL
13,AAL10.LAX.JFK.230228.0615.0032.TFM,KLAX,KJFK,2023-03-01 11:07:00,2023-03-01 11:35:00,AAL
14,DAL607.BOS.LAX.230228.2005.0060.TFM,KBOS,KLAX,2023-03-02 03:13:00,2023-03-02 02:45:00,DAL
15,DAL527.LAX.ATL.230228.0900.0038.TFM,KLAX,KATL,2023-03-02 01:04:00,2023-03-01 13:08:00,DAL
16,DAL759.DCA.ATL.230228.2000.0236.TFM,KDCA,KATL,2023-03-01 21:49:00,2023-03-01 22:01:00,DAL
17,AAL1676.DFW.DCA.230228.1430.0193.TFM,KDFW,KDCA,2023-03-01 17:39:00,2023-03-01 17:19:00,AAL
18,AAL2222.DFW.DCA.230301.0245.0042.TFM,KDFW,KDCA,2023-03-02 05:29:00,2023-03-02 05:28:00,AAL
19,UAL2102.DFW.EWR.230301.0200.0186.TFM,KDFW,KEWR,2023-03-02 05:06:00,2023-03-02 05:15:00,UAL
20,AAL2.LAX.JFK.230228.1530.0053.TFM,KLAX,KJFK,2023-03-01 19:55:00,2023-03-01 20:54:00,AAL
21,UAL1991.EWR.SFO.230228.1500.0295.TFM,KEWR,KSFO,2023-03-01 20:55:00,2023-03-01 21:15:00,UAL
22,UAL215.LAX.SFO.230301.0015.0109.TFM,KLAX,KSFO,2023-03-02 01:31:00,2023-03-02 01:45:00,UAL
23,GJS4499.EWR.DCA.230228.1800.0071.TFM,KEWR,KDCA,2023-03-01 19:17:00,2023-03-01 19:22:00,GJS
24,UAL358.DFW.IAD.230228.1810.0068.TFM,KDFW,KIAD,2023-03-01 20:32:00,2023-03-01 20:54:00,UAL
25,DAL482.JFK.LAX.230228.1345.0052.TFM,KJFK,KLAX,2023-03-01 20:31:00,2023-03-01 20:20:00,DAL
26,UAL1654.LAX.BOS.230228.1620.0140.TFM,KLAX,KBOS,2023-03-01 21:05:00,2023-03-01 21:40:00,UAL
27,AAL2314.DFW.BWI.230228.1630.0233.TFM,KDFW,KBWI,2023-03-01 19:03:00,2023-03-01 19:27:00,AAL
28,UAL1911.IAD.EWR.230228.1740.0031.TFM,KIAD,KEWR,2023-03-01 18:43:00,2023-03-01 19:00:00,UAL
29,DAL327.ATL.BOS.230228.1225.0043.TFM,KATL,KBOS,2023-03-01 14:49:00,2023-03-01 15:02:00,DAL
30,DAL927.ATL.LGA.230228.1416.0011.TFM,KATL,KLGA,2023-03-01 16:14:00,2023-03-01 16:26:00,DAL
31,DAL995.DFW.BOS.230301.0120.0039.TFM,KDFW,KBOS,2023-03-02 04:47:00,2023-03-02 04:57:00,DAL
